Region,Year,NationalSociety,People trained in First Aid,Date
Europe and Central Asia,2023,Red Cross of the Republic of North Macedonia,27486,4/9/2026
Asia Pacific,2023,Malaysian Red Crescent Society,7196,4/9/2026
Africa,2023,Malagasy Red Cross Society,2612,4/9/2026
Middle East and North Africa,2023,Lebanese Red Cross,15652,4/9/2026
Middle East and North Africa,2023,Yemen Red Crescent Society,1208,4/9/2026
Americas,2023,Antigua and Barbuda Red Cross,276,4/9/2026
Americas,2023,The Barbados Red Cross Society,689,4/9/2026
Americas,2023,Dominica Red Cross Society,277,4/9/2026
Asia Pacific,2023,Afghan Red Crescent,6754,4/9/2026
Asia Pacific,2023,Bangladesh Red Crescent Society,57500,4/9/2026
Europe and Central Asia,2023,Hellenic Red Cross,18702,4/9/2026
Europe and Central Asia,2023,Red Crescent Society of Tajikistan,354,4/9/2026
Europe and Central Asia,2023,Red Crescent Society of Uzbekistan,24802,4/9/2026
Europe and Central Asia,2023,Red Cross of Montenegro,4840,4/9/2026
Europe and Central Asia,2023,Red Crescent Society of the Republic of Kazakhstan,26398,4/9/2026
Europe and Central Asia,2023,Red Crescent Society of Turkmenistan,1809,4/9/2026
Europe and Central Asia,2023,Red Cross Society of Georgia,5559,4/9/2026
Europe and Central Asia,2023,Red Cross Society of Bosnia and Herzegovina,46273,4/9/2026
Africa,2023,Liberian Red Cross Society,630,4/9/2026
Africa,2023,Red Crescent Society of Djibouti,205,4/9/2026
Africa,2023,Togolese Red Cross,500,4/9/2026
Africa,2023,Red Cross of Benin,1882,4/9/2026
Africa,2023,Mali Red Cross,268,4/9/2026
Africa,2023,Botswana Red Cross Society,1310,4/9/2026
Africa,2023,Somali Red Crescent Society,6637,4/9/2026
Africa,2023,South Sudan Red Cross,2941,4/9/2026
Africa,2023,Burkinabe Red Cross Society,2178,4/9/2026
Africa,2023,Angola Red Cross,38,4/9/2026
Europe and Central Asia,2023,Icelandic Red Cross,8848,4/9/2026
Europe and Central Asia,2023,Swiss Red Cross,110596,4/9/2026
Europe and Central Asia,2023,Czech Red Cross,62922,4/9/2026
Europe and Central Asia,2023,German Red Cross,1800000,4/9/2026
Europe and Central Asia,2023,Danish Red Cross,50000,4/9/2026
Americas,2023,Colombian Red Cross Society,25259,4/9/2026
Europe and Central Asia,2023,Bulgarian Red Cross,70235,4/9/2026
Middle East and North Africa,2023,Qatar Red Crescent Society,2040,4/9/2026
Asia Pacific,2023,Timor-Leste Red Cross Society,865,4/9/2026
Asia Pacific,2023,New Zealand Red Cross,68915,4/9/2026
Asia Pacific,2023,Palau Red Cross Society,522,4/9/2026
Europe and Central Asia,2023,Austrian Red Cross,275504,4/9/2026
Europe and Central Asia,2023,Swedish Red Cross,30355,4/9/2026
Americas,2023,American Red Cross,4522513,4/9/2026
Europe and Central Asia,2023,Andorran Red Cross,3141,4/9/2026
Europe and Central Asia,2023,Croatian Red Cross,152222,4/9/2026
Africa,2023,Red Cross Society of Côte d'Ivoire,2905,4/9/2026
Europe and Central Asia,2023,Luxembourg Red Cross,2585,4/9/2026
Europe and Central Asia,2023,Red Cross of Serbia,33630,4/9/2026
Europe and Central Asia,2023,British Red Cross,115068,4/9/2026
Americas,2023,Bolivian Red Cross,2248,4/9/2026
Europe and Central Asia,2023,Cyprus Red Cross Society,948,4/9/2026
Europe and Central Asia,2023,Polish Red Cross,12428,4/9/2026
Americas,2023,The Trinidad and Tobago Red Cross Society,2252,4/9/2026
Europe and Central Asia,2023,Hungarian Red Cross,85381,4/9/2026
Asia Pacific,2023,Cook Islands Red Cross Society,474,4/9/2026
Asia Pacific,2023,Australian Red Cross,51809,4/9/2026
Europe and Central Asia,2023,Italian Red Cross,40951,4/9/2026
Europe and Central Asia,2023,Red Cross Society of the Republic of Moldova,1240,4/9/2026
Europe and Central Asia,2023,Liechtenstein Red Cross,1036,4/9/2026
Europe and Central Asia,2023,Portuguese Red Cross,10810,4/9/2026
Africa,2023,Mauritius Red Cross Society,682,4/9/2026
Europe and Central Asia,2023,Slovak Red Cross,53635,4/9/2026
Europe and Central Asia,2023,Red Cross of Monaco,4886,4/9/2026
Americas,2023,Jamaica Red Cross,2062,4/9/2026
Middle East and North Africa,2023,Palestine Red Crescent Society,7353,4/9/2026
Americas,2023,Red Cross Society of Panama,1447,4/9/2026
Americas,2023,Guatemalan Red Cross,737,4/9/2026
Americas,2023,Argentine Red Cross,35216,4/9/2026
Americas,2023,Costa Rican Red Cross,919,4/9/2026
Americas,2023,Brazilian Red Cross,3734,4/9/2026
Africa,2023,Burundi Red Cross,9804,4/9/2026
Asia Pacific,2023,Sri Lanka Red Cross Society,1138,4/9/2026
Americas,2023,Grenada Red Cross Society,208,4/9/2026
Americas,2023,Honduran Red Cross,1276,4/9/2026
