population_group_name,measure_name,location_name,cause_name,metric_name,year,val,upper,lower
All Population,DALYs (Disability-Adjusted Life Years),Global,Environmental heat and cold exposure,Number,2023,3165839.47,3614951.384,2752789.587
All Population,DALYs (Disability-Adjusted Life Years),Global,Environmental heat and cold exposure,Percent,2023,0.001132473,0.001327455,0.000984225
All Population,DALYs (Disability-Adjusted Life Years),Global,Injuries,Number,2023,315508384.8,356182475.1,279819889.5
All Population,DALYs (Disability-Adjusted Life Years),Global,Injuries,Percent,2023,0.112743013,0.122106309,0.102115791
All Population,DALYs (Disability-Adjusted Life Years),Global,Non-venomous animal contact,Number,2023,882852.1485,1211463,564613.5069
All Population,DALYs (Disability-Adjusted Life Years),Global,Non-venomous animal contact,Percent,2023,0.000315147,0.000436512,0.000212359
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body,Number,2023,6579564.041,8250857.861,5014651.389
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body,Percent,2023,0.002354373,0.003076074,0.001790675
All Population,DALYs (Disability-Adjusted Life Years),Global,Pulmonary aspiration and foreign body in airway,Number,2023,5515265.564,7078278.621,3972260.409
All Population,DALYs (Disability-Adjusted Life Years),Global,Pulmonary aspiration and foreign body in airway,Percent,2023,0.001975728,0.002667126,0.001409999
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body in eyes,Number,2023,350776.4032,603769.325,180610.4453
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body in eyes,Percent,2023,0.000124605,0.000205865,6.76E-05
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body in other body part,Number,2023,713522.0739,981949.1355,511823.123
All Population,DALYs (Disability-Adjusted Life Years),Global,Foreign body in other body part,Percent,2023,0.000254041,0.00032482,0.000194686
All Population,DALYs (Disability-Adjusted Life Years),Global,Other unintentional injuries,Number,2023,12780347.19,17837221.02,9095997.999
All Population,DALYs (Disability-Adjusted Life Years),Global,Other unintentional injuries,Percent,2023,0.004551747,0.005862193,0.003427461
All Population,DALYs (Disability-Adjusted Life Years),Global,Self-harm and interpersonal violence,Number,2023,79679119.19,87607670.48,71890132.81
